Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
826,The Urbz: Sims in the City,DS,2005,Role-Playing,Nintendo,1.16,0.06,0.83,0,2.05
827,Star Wars: Starfighter,GC,2002,Misc,Infogrames,1.47,0.48,0.05,0.06,2.05
828,Madden NFL 2000,PS3,2013,Role-Playing,Activision,0.71,0.83,0.15,0.35,2.05
829,Pro Evolution Soccer,GEN,1992,Sports,Arena Entertainment,1.75,0.25,0,0.05,2.05
830,Crackdown,X360,2007,Racing,Microsoft Game Studios,0.48,1.29,0.02,0.25,2.05
831,Yoshi,DS,2009,Role-Playing,Square Enix,1.11,0.27,0.53,0.14,2.04
832,Disney's Aladdin,X360,2011,Misc,Microsoft Game Studios,1.45,0.42,0.01,0.16,2.04
833,Kirby's Adventure,Wii,2008,Misc,Ubisoft,0.73,1.09,0,0.23,2.04
834,Cooking Mama 3: Shop & Chop,PS2,2006,Shooter,Sony Computer Entertainment,1.74,0.02,0,0.28,2.04
835,Dance Dance Revolution X,PS2,2005,Action,Ubisoft,0.71,1.02,0,0.31,2.04
836,2 Games in 1: Disney Princess & The Lion King,GBA,2003,Platform,Nintendo,1.2,0.48,0.29,0.07,2.04
837,Star Wars Episode I: The Phantom Menace,PS3,2011,Action,Electronic Arts,0.58,1.06,0.03,0.37,2.04
838,Xenosaga Episode I: Der Wille zur Macht,PS4,2014,Sports,Electronic Arts,1.53,0.25,0,0.25,2.03
839,The Beatles: Rock Band,N64,1998,Sports,Nintendo,1.25,0.61,0.13,0.05,2.03
840,Forza Motorsport 6,X360,2011,Misc,Ubisoft,1.47,0.4,0,0.16,2.03
841,Sonic Colors,PS2,2003,Sports,Electronic Arts,1.57,0.18,0,0.27,2.03
842,Cruis'n USA,PS3,2008,Action,Electronic Arts,1.05,0.67,0,0.3,2.02
843,Madden NFL 99,X360,2005,Shooter,Activision,1.81,0.05,0.01,0.15,2.02
844,Uncharted: Golden Abyss,X360,2014,Sports,Electronic Arts,1.76,0.09,0,0.17,2.02
845,SSX Tricky,X360,2012,Racing,Microsoft Game Studios,0.82,0.98,0.04,0.18,2.02
846,Overwatch,DS,2007,Puzzle,Midway Games,0.49,1.27,0,0.25,2.01
847,Twisted Metal III,XOne,2016,Shooter,Ubisoft,1.2,0.62,0,0.18,2.01
848,Disney Infinity,PS3,2013,Action,Warner Bros. Interactive Entertainment,0.77,0.85,0.01,0.37,2
849,Crash Bandicoot: The Huge Adventure,3DS,2012,Role-Playing,Nintendo,0.89,0.45,0.53,0.13,2
850,Dishonored,PS4,2014,Racing,Sony Computer Entertainment,0.35,1.31,0.02,0.33,2
851,The Order: 1886,SNES,1993,Fighting,Nintendo,0.52,0.16,1.29,0.03,2
852,The Elder Scrolls Online,PS3,2008,Fighting,Midway Games,1.48,0.3,0,0.22,2
853,Call of Duty: World at War Final Fronts,PS,1997,Action,Activision,0.95,0.64,0.27,0.13,1.99
854,Imagine: Teacher,GB,1989,Sports,Nintendo,0.75,0.3,0.9,0.04,1.99
855,Star Ocean: Till The End of Time,GBA,2002,Action,Electronic Arts,1.21,0.64,0.05,0.09,1.99
856,The Sims 3: Late Night Expansion Pack,PS,2002,Action,Electronic Arts,0.75,1.09,0.02,0.12,1.98
857,Game Party 3,SNES,1991,Simulation,Nintendo,0.93,0.27,0.75,0.04,1.98
858,Toy Story 2: Buzz Lightyear to the Rescue!,XOne,2013,Shooter,Electronic Arts,1.25,0.58,0,0.16,1.98
859,Deal or No Deal,X360,2012,Shooter,Capcom,1.11,0.63,0.07,0.16,1.98
860,Ace Combat 5: The Unsung War,PS4,2014,Role-Playing,Electronic Arts,0.72,0.86,0.08,0.32,1.97
861,Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,DS,2010,Platform,Sega,0.99,0.8,0,0.18,1.97
862,Cabela's Big Game Hunter 2010,PS2,2002,Platform,Universal Interactive,0.74,0.95,0,0.28,1.97
863,The Crew,Wii,2008,Shooter,Activision,1.2,0.59,0,0.19,1.97
864,We Ski,PS2,2003,Action,Capcom,0.71,0.58,0.51,0.17,1.97
865,Personal Trainer: Math,PS3,2008,Racing,Electronic Arts,1.01,0.64,0.02,0.3,1.97
866,Kirby's Return to Dreamland,2600,1981,Action,Atari,1.84,0.11,0,0.02,1.97
867,Super Puyo Puyo,X360,2013,Shooter,Take-Two Interactive,1.22,0.57,0.02,0.15,1.96
868,Ben 10: Protector of Earth,PSP,2004,Sports,Sony Computer Entertainment,0.5,0.5,0.63,0.33,1.96
869,NCAA Football 07,NES,1986,Racing,Nintendo,1.13,0.37,0.41,0.05,1.96
870,SOCOM 3: U.S. Navy SEALs,NES,1985,Sports,Nintendo,0.18,0.23,1.53,0.02,1.96
871,Saints Row IV,DS,2006,Platform,Nintendo,0.79,0.03,1.05,0.08,1.96
872,Jampack Winter '99,X360,2006,Shooter,Ubisoft,1.09,0.65,0.02,0.2,1.96
873,WCW vs. nWo: World Tour,X360,2014,Shooter,Activision,1.3,0.49,0,0.16,1.95
874,WCW/NWO Thunder,PS2,2003,Racing,Vivendi Games,0.74,1.01,0,0.2,1.95
875,Dragon Ball Z: The Legacy of Goku,XB,2005,Action,Take-Two Interactive,1.26,0.61,0,0.09,1.95
876,Sid Meier's Civilization V,PC,1994,Shooter,LucasArts,1.09,0.77,0,0.09,1.95
877,Call of Duty Black Ops: Declassified,PS2,2003,Sports,Electronic Arts,1.69,0.2,0,0.06,1.95
878,Star Wars Battlefront: Renegade Squadron,PS2,2003,Fighting,Electronic Arts,0.95,0.74,0,0.25,1.94
879,World Championship Poker: Featuring Howard Lederer - All In,X360,2008,Sports,Electronic Arts,0.49,1.26,0.01,0.18,1.94
880,NFL GameDay 98,PC,1999,Misc,Disney Interactive Studios,1.94,0,0,0,1.94
881,LEGO Batman 2: DC Super Heroes,PS,2001,Adventure,THQ,0.59,1.23,0,0.13,1.94
882,Yoshi's Cookie,GB,1989,Puzzle,Nintendo,0.96,0.38,0.55,0.05,1.94
883,Time Crisis,PS2,2004,Fighting,Atari,1.09,0.15,0.65,0.04,1.94
884,The Sims: Superstar,PS,1997,Racing,Sony Computer Entertainment,1.41,0.42,0.03,0.07,1.94
885,Star Wars The Clone Wars: Lightsaber Duels,PS2,2002,Shooter,Ubisoft,1.42,0.4,0,0.12,1.94
886,Metroid Fusion,PS2,2004,Role-Playing,Activision,1,0.72,0,0.21,1.93
887,Shaun White Snowboarding: Road Trip,X360,2013,Action,Warner Bros. Interactive Entertainment,1.15,0.61,0,0.17,1.93
888,SSX 3,PS3,2008,Misc,Activision,1.1,0.56,0,0.27,1.93
889,Big Beach Sports,SNES,1993,Fighting,Acclaim Entertainment,1.48,0.39,0,0.06,1.93
890,Madden NFL 2001,SAT,1995,Fighting,Sega,0.34,0.26,1.3,0.03,1.93
891,Fight Night Round 3,GB,1998,Puzzle,Nintendo,1.06,0.6,0.2,0.07,1.93
892,Knack,X360,2008,Fighting,Midway Games,1.53,0.24,0,0.16,1.93
893,Disney's DuckTales,PS3,2014,Action,Ubisoft,0.56,0.89,0.1,0.37,1.93
894,"Monsters, Inc.",Wii,2008,Sports,Nintendo,1.51,0,0.29,0.12,1.93
895,StarCraft II: Heart of the Swarm,X360,2013,Action,Square Enix,0.86,0.87,0.01,0.17,1.92
896,PGR: Project Gotham Racing 2,GB,2001,Action,Nintendo,0.92,0.53,0.41,0.06,1.92
897,Spy Hunter,X360,2009,Racing,Electronic Arts,0.73,0.97,0.01,0.22,1.92
898,NCAA Football 2004,Wii,2008,Misc,Electronic Arts,0.87,0.85,0,0.2,1.92
899,SpongeBob SquarePants: Battle for Bikini Bottom,PS2,2001,Shooter,THQ,0.76,0.96,0,0.2,1.92
900,Dying Light,PC,2003,Simulation,Electronic Arts,1.03,0.8,0,0.09,1.92
901,Heavenly Sword,PS2,2004,Racing,THQ,0.94,0.73,0,0.25,1.92
902,Street Fighter II': Special Champion Edition,PS,1996,Misc,Sony Computer Entertainment,0.26,0.16,1.46,0.03,1.92
903,SSX,Wii,2009,Misc,Disney Interactive Studios,1.06,0.67,0,0.18,1.92
904,NBA Ballers,N64,2000,Misc,Nintendo,0.72,0.16,1.01,0.02,1.91
905,Need for Speed Carbon,Wii,2008,Action,LucasArts,1.14,0.57,0,0.19,1.91
906,NBA Live 2003,Wii,2008,Misc,Midway Games,1.3,0.44,0,0.17,1.91
907,Dragon Ball Z: Budokai Tenkaichi,PS4,2015,Shooter,Activision,0.77,0.78,0.04,0.31,1.91
908,Ms. Pac-Man,Wii,2011,Action,LucasArts,1.08,0.66,0,0.17,1.91
909,Mario Party 6,GC,2001,Simulation,LucasArts,1.03,0.75,0.03,0.09,1.9
910,Super Scope 6,PS3,2012,Shooter,Take-Two Interactive,0.59,0.92,0.06,0.32,1.9
911,Go Vacation,PS4,2013,Racing,Electronic Arts,0.73,0.91,0.03,0.22,1.89
912,Army of Two,PS3,2008,Sports,Electronic Arts,1.56,0.15,0,0.18,1.89
913,Dragon Quest IV: Chapters of the Chosen,3DS,2013,Role-Playing,Nintendo,0.21,0.3,1.33,0.04,1.89
914,Kirby & the Amazing Mirror,PS3,2009,Platform,Sony Computer Entertainment,1.05,0.54,0.03,0.26,1.88
915,LEGO Pirates of the Caribbean: The Video Game,PS,1999,Role-Playing,Konami Digital Entertainment,1.37,0.44,0,0.08,1.88
916,Dig Dug,PS2,2004,Fighting,Midway Games,0.92,0.72,0,0.24,1.88
917,Tom Clancy's Rainbow Six,PS,1999,Sports,Sony Computer Entertainment,0.25,0.12,1.48,0.03,1.88
918,Ghosts 'n Goblins,PS2,2005,Shooter,Electronic Arts,0.89,0.69,0.09,0.21,1.88
919,Tiger Woods PGA Tour 2003,PS,1998,Fighting,THQ,1.42,0.36,0.03,0.07,1.88
920,NBA Live 06 (All region sales),PS2,2007,Misc,Disney Interactive Studios,0.47,0.08,0,1.33,1.87
921,Prince of Persia: Warrior Within,GC,2002,Adventure,Nintendo,0.96,0.53,0.3,0.09,1.87
922,Kinectimals,PS,1998,Sports,Electronic Arts,0.22,1.47,0.04,0.14,1.87
923,Until Dawn,PS2,2001,Action,THQ,0.53,0.16,1.07,0.1,1.87
924,Viva Pinata,3DS,2013,Platform,Nintendo,0.73,0.62,0.4,0.12,1.87
925,Pikmin,GB,2001,Adventure,Nintendo,0.87,0.52,0.41,0.06,1.86
926,Sonic Generations,XB,2005,Sports,Electronic Arts,1.75,0.03,0,0.08,1.86
927,Tiger Woods PGA Tour 2004,PS2,2004,Platform,Activision,1.12,0.69,0.03,0.02,1.86
928,Ape Escape,PS,1999,Role-Playing,Sony Computer Entertainment,0.94,0.44,0.39,0.1,1.86
929,NCAA Football 2005,N64,1997,Platform,Acclaim Entertainment,1.37,0.41,0.04,0.04,1.86
930,Tony Hawk's American Wasteland (Old all region sales),PS2,2004,Misc,Sony Computer Entertainment,0,1.37,0,0.49,1.86
931,Rage,PS4,2014,Platform,Sony Computer Entertainment,0.64,0.92,0.01,0.29,1.86
932,Mario Hoops 3 on 3,PS2,2001,Sports,Electronic Arts,0.91,0.71,0,0.24,1.86
933,Kirby Air Ride,DS,2009,Action,Disney Interactive Studios,1.34,0.37,0,0.15,1.86
934,Sled Storm,PS,1999,Role-Playing,SquareSoft,0.62,0.42,0.69,0.12,1.86
935,Pokemon Battle Revolution,Wii,2010,Action,Activision,0.85,0.71,0.13,0.16,1.86
936,NFL Street 2,3DS,2013,Misc,Nintendo,0.61,0.59,0.55,0.11,1.85
937,Gears of War: Judgment,PS2,2004,Platform,Sony Computer Entertainment,1.33,0.49,0,0.03,1.85
938,Yu-Gi-Oh! Duel Monsters,Wii,2007,Misc,Ubisoft,0.83,0.82,0,0.2,1.85
939,Super Mario Strikers,GBA,2004,Role-Playing,Square Enix,1.26,0.18,0.35,0.06,1.85
940,Buzz! The Music Quiz,NES,1984,Action,Nintendo,0.8,0.19,0.83,0.03,1.85
941,SpongeBob's Atlantis SquarePantis,PS3,2011,Action,Sony Computer Entertainment,1.05,0.49,0.08,0.23,1.85
942,Dance Dance Revolution: Hottest Party 2,PS2,2001,Racing,Unknown,0,1.1,0.42,0.33,1.84
943,Moshi Monsters: Moshling Zoo,PS3,2009,Role-Playing,Namco Bandai Games,0.97,0.34,0.35,0.18,1.84
944,Dollar Dash,PS2,2005,Sports,Electronic Arts,1.53,0.05,0,0.25,1.84
945,Far Cry 2,N64,1998,Simulation,Nintendo,0.83,0.06,0.93,0,1.83
946,F-1 World Grand Prix,GBA,2005,Misc,THQ,1.31,0.49,0,0.03,1.83
947,River Raid,PC,2012,Role-Playing,Activision,0.84,0.76,0,0.23,1.83
948,Silent Hill,PS,1996,Racing,Sony Computer Entertainment,1.33,0.4,0.03,0.07,1.83
949,Dragon Quest V: Hand of the Heavenly Bride,PS4,2015,Action,Square Enix,0.46,1.02,0.07,0.28,1.83
950,No Man's Sky,SNES,1993,Role-Playing,SquareSoft,0.25,0.07,1.49,0.02,1.83
951,ESPN NBA 2K5,X360,2007,Shooter,Electronic Arts,1.09,0.54,0.02,0.17,1.83
952,Diablo,PS,1995,Simulation,Sony Computer Entertainment,0.92,0.33,0.52,0.05,1.83
953,Soul Edge,3DS,2014,Platform,Nintendo,0.61,0.34,0.79,0.09,1.82
954,Devil May Cry 4,GEN,1994,Platform,Sega,1.24,0.43,0.03,0.12,1.82
955,SoulCalibur IV,PS2,2001,Misc,Namco Bandai Games,1.73,0.07,0,0.02,1.82
956,NASCAR 2000,PC,2001,Simulation,Electronic Arts,1.81,0,0,0,1.82
957,Wolfenstein: The New Order,Wii,2007,Shooter,Nintendo,0.91,0.74,0.07,0.09,1.82
958,Carnival Games: Mini Golf,DS,2010,Role-Playing,Nintendo,0.22,0.21,1.35,0.03,1.81
959,Guitar Hero: On Tour Decades,PS4,2014,Action,Bethesda Softworks,0.55,0.84,0.11,0.31,1.81
960,MySims Kingdom,PS2,2003,Simulation,Konami Digital Entertainment,1.05,0.59,0,0.18,1.81
961,Jampack Summer 2K,DC,2000,Racing,Sega,1.1,0.51,0.12,0.08,1.81
962,Guitar Hero 5,PS2,2002,Fighting,Sega,0.78,0.44,0.56,0.04,1.81
963,High School Musical 3: Senior Year,PS2,2004,Platform,Sony Computer Entertainment,0.88,0.69,0,0.23,1.81
964,Kingdom Hearts 3D: Dream Drop Distance,PS2,2008,Misc,Activision,1,0.03,0,0.77,1.8
965,Hannah Montana: Music Jam,GBA,2002,Platform,Sega,0.93,0.59,0.21,0.07,1.8
966,Pokemon Mystery Dungeon: Explorers of Sky,X360,2006,Sports,Electronic Arts,1.66,0,0.01,0.13,1.8
967,Spyro 2: Season of Flame,PS3,2010,Action,Take-Two Interactive,1.41,0.21,0.03,0.16,1.8
968,NCAA Football 2002,PS,1999,Sports,989 Studios,1,0.68,0,0.12,1.8
969,Conflict: Desert Storm,PS3,2015,Shooter,Activision,0.49,0.96,0.07,0.27,1.79
970,Mario Party 7,SNES,1994,Platform,Virgin Interactive,1.26,0.39,0.08,0.06,1.79
971,Pro Evolution Soccer 2013,PS3,2013,Adventure,Sony Computer Entertainment,0.52,0.88,0.06,0.34,1.79
972,Smuggler's Run,X360,2012,Action,Microsoft Game Studios,1.05,0.57,0.03,0.14,1.78
973,Donkey Kong Classics,PS2,2003,Racing,Take-Two Interactive,1.25,0.29,0,0.24,1.78
974,Twisted Metal,DS,2006,Role-Playing,Square Enix,0.23,0.03,1.49,0.03,1.78
975,Dark Souls III,PS,2001,Action,THQ,1.12,0.58,0,0.08,1.78
976,Final Fight,PS2,2004,Action,Sony Computer Entertainment,0.39,1.01,0.02,0.36,1.78
977,Dragon Quest Monsters 2,3DS,2011,Puzzle,Nintendo,0.32,0.95,0.36,0.14,1.78
978,Pokemon Pinball: Ruby & Sapphire,PS3,2010,Action,Square Enix,0.45,0.94,0.06,0.33,1.78
979,Mafia II,PS3,2012,Role-Playing,Capcom,0.41,0.46,0.72,0.19,1.78
980,Stuntman,WiiU,2013,Action,Nintendo,0.93,0.57,0.14,0.13,1.77
981,Tom Clancy's Rainbow Six 3,PS2,2005,Action,Vivendi Games,0.85,0.76,0,0.16,1.77
982,Active Life: Outdoor Challenge,Wii,2007,Misc,Disney Interactive Studios,1.16,0.45,0,0.16,1.77
983,007: The World is not Enough,WiiU,2013,Misc,Nintendo,0.31,0.54,0.84,0.08,1.77
984,Spider-Man 2: Enter: Electro,PS3,2013,Sports,Electronic Arts,1.59,0.03,0,0.15,1.77
985,Star Wars: The Force Unleashed II,SNES,1991,Role-Playing,Square,0.24,0.09,1.33,0.12,1.77
986,Ni no Kuni: Wrath of the White Witch,N64,2000,Platform,Nintendo,0.63,0.06,1.03,0.04,1.77
987,Command & Conquer: Tiberian Sun,XB,2001,Fighting,Microsoft Game Studios,1.19,0.29,0.24,0.06,1.77
988,LEGO Battles: Ninjago,PS3,2009,Fighting,THQ,1.07,0.45,0.01,0.24,1.77
989,Mario Party 10,GB,1991,Adventure,Nintendo,0.85,0.31,0.56,0.04,1.76
990,Dead Rising 3,PS,1998,Fighting,Acclaim Entertainment,1.27,0.42,0,0.07,1.76
991,Resident Evil: The Umbrella Chronicles,PS2,2004,Platform,THQ,1.06,0.54,0,0.16,1.76
992,Fire Emblem Fates,GBA,2001,Role-Playing,Nintendo,0.93,0.38,0.4,0.06,1.76
993,Dark Cloud,GEN,1994,Platform,Sega,1.02,0.47,0.2,0.07,1.76
994,Warcraft III: The Frozen Throne,NES,1986,Platform,Nintendo,0.53,0.12,1.09,0.02,1.76
995,Tom Clancy's Ghost Recon Advanced Warfighter,PS2,2004,Fighting,Electronic Arts,0.86,0.67,0,0.22,1.76
996,Disney Fairies: Tinker Bell,XB,2002,Shooter,Ubisoft,1.23,0.46,0,0.07,1.76
997,MVP Baseball 2005,PS2,2002,Action,Take-Two Interactive,0.86,0.67,0,0.22,1.76
998,Die Hard Trilogy,PS3,2013,Shooter,Take-Two Interactive,0.72,0.69,0.04,0.31,1.76
999,Fight Night Round 4,X360,2012,Action,Square Enix,0.68,0.9,0.01,0.17,1.76
1000,The Simpsons Game,GBA,2007,Action,THQ,1.26,0.47,0,0.03,1.76
1001,Mortal Kombat 3,X360,2015,Shooter,Activision,1.11,0.48,0,0.16,1.76
1002,NFL GameDay 99,PS2,2004,Simulation,Electronic Arts,0.52,0.95,0,0.29,1.76
1003,Call of Duty: Modern Warfare: Reflex Edition,PS3,2007,Sports,Electronic Arts,0.35,1.07,0.02,0.32,1.76
1004,Mario Golf: Toadstool Tour,PS2,2001,Simulation,Activision,0.61,0.87,0.02,0.26,1.76
1005,Tiger Woods 99 PGA Tour Golf,PS,1998,Sports,Electronic Arts,1.68,0.04,0,0.04,1.75
1006,Donkey Kong Country: Tropical Freeze,PS3,2013,Role-Playing,Square Enix,0.9,0.37,0.25,0.24,1.75
1007,Dead Space 2,XB,2004,Shooter,Activision,1.24,0.45,0,0.07,1.75
1008,Sonic Rivals 2,PS2,2001,Sports,Konami Digital Entertainment,0.06,0.9,0.53,0.27,1.75
1009,Knockout Kings,X360,2007,Shooter,Microsoft Game Studios,1,0.54,0.03,0.18,1.75
1010,The Simpsons Skateboarding,NES,1991,Puzzle,Nintendo,0.7,0.13,0.91,0.01,1.75
1011,NASCAR 98,SNES,1993,Platform,Capcom,0.94,0.34,0.21,0.27,1.75
1012,F1 Race,NES,1993,Platform,Nintendo,0.79,0.14,0.8,0.02,1.75
1013,Xevious,DS,2009,Simulation,505 Games,0.83,0.66,0.08,0.18,1.75
1014,NASCAR 99,PS2,2008,Simulation,Konami Digital Entertainment,0.85,0.66,0.01,0.22,1.75
1015,NBA Live 2000,GBA,2004,Misc,THQ,1.25,0.46,0,0.03,1.75
1016,Super Monkey Ball 2,PS,1999,Adventure,LucasArts,0.72,0.89,0.04,0.1,1.74
1017,Pac-Man World 2,PS2,2002,Role-Playing,Namco Bandai Games,0.63,0.49,0.45,0.17,1.74
1018,Sonic & Sega All-Stars Racing,PS3,2011,Shooter,Valve,0.83,0.63,0.02,0.25,1.74
1019,Football Manager 2012,Wii,2009,Misc,MTV Games,1.19,0.4,0,0.16,1.74
1020,Puzzle & Dragons,XOne,2015,Racing,Microsoft Game Studios,0.69,0.89,0.03,0.14,1.74
1021,Mega Man 2,Wii,2010,Platform,Sega,0.96,0.61,0.01,0.16,1.74
1022,Simpsons Wrestling,N64,1996,Racing,Nintendo,1.69,0.04,0,0.01,1.74
1023,NBA Live 98,PS,1998,Sports,Electronic Arts,1.66,0.04,0,0.04,1.74
1024,Resistance 3,PS4,2014,Role-Playing,Activision,0.49,0.88,0.06,0.3,1.74
1025,Tokyo Xtreme Racer Zero,PSV,2011,Shooter,Sony Computer Entertainment,0.59,0.75,0.13,0.27,1.74
1026,Final Fantasy XIV: A Realm Reborn,PS3,2014,Shooter,Activision,0.67,0.66,0.12,0.27,1.73
1027,NFL Blitz,PS2,2001,Sports,Electronic Arts,0.85,0.66,0,0.22,1.73
1028,Red Faction II,PS4,2016,Shooter,Activision,0.64,0.68,0.14,0.26,1.73
1029,Super Scribblenauts,PS,1998,Action,989 Studios,1.48,0.2,0,0.05,1.73
1030,WWF No Mercy,GB,2001,Action,Electronic Arts,0.94,0.62,0.1,0.07,1.73
1031,Ice Climber,Wii,2013,Action,Disney Interactive Studios,1.15,0.44,0,0.14,1.73
1032,Sonic CD,GBA,2002,Platform,Universal Interactive,0.95,0.7,0,0.08,1.73
1033,Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,X360,2012,Action,Bethesda Softworks,1.06,0.52,0.01,0.14,1.73
1034,Dead Rising 2,PS2,2003,Action,Take-Two Interactive,0.85,0.66,0,0.22,1.72
1035,Pac-Man World,PS4,2015,Shooter,Sony Computer Entertainment,0.61,0.78,0.06,0.27,1.72
1036,Disney Sing It: Pop Hits,PS4,2015,Role-Playing,Bethesda Softworks,0.66,0.78,0,0.28,1.72
1037,Final Fantasy: Crystal Chronicles,PS2,2008,Shooter,Activision,0.61,0.18,0,0.94,1.72
1038,Drawn To Life: SpongeBob SquarePants Edition,DS,2008,Simulation,Ubisoft,0.7,0.83,0,0.19,1.72
1039,Banjo-Tooie,PC,2011,Shooter,Activision,0.41,0.98,0,0.33,1.72
1040,Buzz! The BIG Quiz,XB,2004,Sports,Electronic Arts,1.61,0.03,0,0.08,1.72
1041,007: Quantum of Solace,PS2,2003,Role-Playing,Ubisoft,0.8,0.21,0.55,0.15,1.72
1042,New Play Control! Mario Power Tennis,PC,2010,Simulation,Electronic Arts,0.59,0.87,0,0.25,1.71
1043,Bratz: Forever Diamondz,Wii,2009,Puzzle,Warner Bros. Interactive Entertainment,1.43,0.16,0,0.12,1.71
1044,Dirge of Cerberus: Final Fantasy VII,PS,1998,Platform,Activision,0.99,0.64,0,0.08,1.71
1045,Nintendo World Cup,DS,2007,Misc,Mindscape,1.15,0.41,0,0.15,1.71
1046,WWF WrestleMania 2000,PS2,2004,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71
1047,Wario Land II,XB,2003,Racing,Electronic Arts,1.09,0.55,0,0.07,1.71
1048,Major League Baseball 2K5,DS,2006,Misc,Nintendo,0,0,1.71,0,1.71
1049,Fight Night 2004,GBA,2001,Puzzle,THQ,1.25,0.39,0,0.06,1.71
1050,Tom Clancy's Splinter Cell: Pandora Tomorrow,Wii,2009,Sports,Activision Value,1.58,0,0,0.12,1.7
1051,Imagine: Master Chef,PS4,2014,Racing,Ubisoft,0.34,1.08,0.03,0.26,1.7
1052,Assassin's Creed III: Liberation,PS2,2009,Sports,Electronic Arts,0.23,0.24,0,1.23,1.7
1053,Mario Golf,Wii,2008,Sports,Namco Bandai Games,0.99,0.42,0.14,0.15,1.7
1054,Disney Princess,DS,2007,Puzzle,Nintendo,0.49,1.12,0,0.09,1.7
1055,Metal Gear Rising: Revengeance,Wii,2011,Platform,Nintendo,0.62,0.21,0.79,0.08,1.7
1056,The House of the Dead 2 & 3 Return,SNES,1993,Puzzle,Banpresto,0,0,1.69,0.01,1.7
1057,Disney Princess: Magical Jewels,DS,2007,Action,D3Publisher,0.69,0.83,0,0.19,1.7
1058,LittleBigPlanet PS Vita,PS2,2006,Sports,Electronic Arts,1.41,0.05,0,0.23,1.7
1059,Xenogears,PS2,2005,Shooter,Sony Computer Entertainment,1.22,0.34,0.04,0.1,1.69
1060,Tom Clancy's Ghost Recon: Future Soldier,XOne,2014,Sports,Take-Two Interactive,1.36,0.18,0,0.15,1.69
1061,Battlefield: Bad Company,PS3,2008,Action,THQ,0.88,0.54,0.02,0.25,1.69
1062,Midway Arcade Treasures,X360,2013,Action,Deep Silver,1.01,0.53,0.01,0.14,1.69
1063,Wall-E,PS,1999,Misc,Sony Computer Entertainment,0.94,0.64,0,0.11,1.69
1064,Triple Play 99,PS3,2009,Role-Playing,Electronic Arts,0.96,0.44,0.08,0.22,1.69
1065,Homefront,X360,2015,Sports,Electronic Arts,0.55,1.01,0,0.13,1.69
1066,Super Monkey Ball,N64,1997,Fighting,THQ,1.37,0.28,0.03,0.02,1.69
1067,Mortal Kombat 4,PS,1998,Fighting,THQ,1.1,0.48,0.04,0.07,1.69
1068,Mario Superstar Baseball,GBA,2001,Action,Electronic Arts,0.87,0.66,0.08,0.08,1.69
1069,Medal of Honor: Warfighter,X360,2008,Racing,Electronic Arts,0.79,0.71,0.01,0.18,1.69
1070,WCW vs the World,GBA,2002,Role-Playing,Infogrames,1.52,0.12,0,0.05,1.69
1071,SNK vs. Capcom: The Match of the Millennium,PC,2010,Strategy,Take-Two Interactive,0.98,0.52,0,0.19,1.69
1072,LEGO City Undercover,GC,2005,Action,Capcom,0.98,0.42,0.22,0.06,1.69
1073,Onimusha 3: Demon Siege,PSV,2012,Action,Activision,0.8,0.52,0.07,0.3,1.69
1074,Red Dead Revolver,PSP,2007,Shooter,LucasArts,0.9,0.47,0,0.32,1.68
1075,Anno 2070,PS2,2006,Misc,Oxygen Interactive,0.82,0.64,0,0.22,1.68
1076,Resident Evil: Outbreak,PS,1997,Sports,Sony Computer Entertainment,1.58,0.06,0,0.04,1.68
1077,Smarty Pants,X360,2012,Action,Warner Bros. Interactive Entertainment,0.9,0.64,0,0.15,1.68
1078,Tamagotchi,GB,1992,Puzzle,Nintendo,0.59,0.24,0.82,0.03,1.68
1079,4 Nin uchi Mahjong,PS,1997,Shooter,Namco Bandai Games,0.38,0.87,0.33,0.1,1.68
1080,Dragon Ball Z,PC,2003,Simulation,Electronic Arts,1.67,0,0,0,1.68
1081,Game de Hakken!! Tamagotchi 2,Wii,2008,Action,LucasArts,1.23,0.3,0,0.14,1.68
1082,Namco Museum 64,Wii,2007,Simulation,Electronic Arts,0.91,0.55,0.04,0.17,1.68
1083,Hasbro Family Game Night,GBA,2002,Action,Nintendo,1.18,0.27,0.17,0.06,1.68
1084,Dragon Quest Monsters: Joker 2,Wii,2008,Sports,Ubisoft,0.94,0.57,0,0.17,1.67
1085,Tony Hawk's American Wasteland (Weekly american sales),PS2,2003,Sports,Electronic Arts,0.93,0.52,0,0.22,1.67
1086,My Word Coach,Wii,2008,Sports,THQ,0.45,1.02,0,0.2,1.67
1087,Hello Kitty Party,PS,2000,Sports,Electronic Arts,1.58,0.05,0,0.04,1.67
1088,SingStar Pop,PS3,2006,Fighting,Electronic Arts,0.81,0.59,0.01,0.26,1.67
1089,Sonic Rivals,PS4,2013,Platform,Sony Computer Entertainment Europe,0.43,0.67,0.42,0.15,1.67
1090,SimCity (2013),XB,2005,Shooter,Activision,1.22,0.39,0,0.06,1.67
1091,Kirby Super Star,NES,1989,Platform,Capcom,0.91,0.3,0.42,0.04,1.67
1092,Kinect Joy Ride,PS,2001,Sports,Activision,1.09,0.49,0.02,0.07,1.67
