Rank,Name,Genre,ESRB_Rating,Platform,Developer,Publisher,Critic_Score,User_Score,Year
613,Mario & Luigi: Dream Team,Action,M,PS3,THQ,Ubisoft,9.1,8,2010
614,Bastion,Role-Playing,T,3DS,Parker Bros.,Nintendo,8,7.4,2016
615,WWE SmackDown vs. RAW 2007,Strategy,T,PC,Neko Entertainment,Virgin Interactive,9.3,9.8,1996
616,Skylanders Giants,Racing,E,SNES,UDS,Nintendo,8,7.8,1991
617,Ratchet & Clank: Up Your Arsenal,Platform,E,N64,Digital Integration,Nintendo,8,8,1998
618,Madden NFL 08,Adventure,M,PC,Minds-Eye Productions,Telltale Games,8,8,2012
619,Clubhouse Games,Shooter,T,GC,DreamFactory,Nintendo,9.6,9.5,2002
620,NBA 2K14,Sports,E,Wii,Mistwalker Corporation / Artoon,Majesco,8,8,2011
621,Ratchet & Clank Future: Tools of Destruction,Sports,E,X360,Magenta Software,EA Sports,8.6,8,2009
622,Dragon Age: Origins,Shooter,M,X360,XPEC,2K Games,9.6,9.5,2007
623,Pokemon Stadium 2,Platform,E,GBA,Keen Games,Nintendo,8,8.7,2002
624,Madden NFL 09,Fighting,T,PS2,Interactive Studios Ltd.,THQ,8,9.6,2004
625,Space Invaders,Platform,E,GBA,Atomic Planet Entertainment,THQ,7,9.8,2003
626,Mario Tennis Aces,Shooter,M,PS3,"Mossmouth, LLC",Electronic Arts,7,7.8,2010
627,Crazy Taxi,Role-Playing,M,PS4,Mistwalker Corporation / Feelplus Inc.,Blizzard Entertainment,8,8,2014
628,Perfect Dark,Adventure,E,GBA,KID Corporation,Nintendo,9.6,7.4,2002
629,Midnight Club: Los Angeles,Racing,E,PSN,SCEA Bend Studio,Sony Computer Entertainment,7.8,9.8,2009
630,PES 2009: Pro Evolution Soccer,Racing,E10,PS3,KCEK,Electronic Arts,8.9,7.8,2010
631,Marvel: Ultimate Alliance,Simulation,E,DS,Nintendo / TNX,Ubisoft,3,8.7,2007
632,Crisis Core: Final Fantasy VII,Shooter,M,PS3,RED Entertainment,Sony Computer Entertainment,8.2,9.6,2011
633,Dance Central,Fighting,T,PS2,FASA Studio,THQ,8,9.8,2003
634,Diablo,Role-Playing,E,SNES,Runecraft,Enix,8,7.8,1992
635,Dragon Ball Z: Budokai 3,Fighting,T,PS2,Asylum Entertainment,Namco,9,8,2005
636,Dragon Quest II,Sports,E,PS,HexaDrive,Sony Computer Entertainment,8,7.4,1998
637,Far Cry,Platform,E10,PC,Shaba Games,Frozenbyte,8,9.8,2011
638,Final Fantasy Tactics,Action,E10,Wii,Rockstar Toronto,Activision,8,7.8,2011
639,Forza Horizon 3,Platform,E,PS,Cooking Mama Limited,Sony Computer Entertainment,3.6,8,1998
640,Warcraft III: The Frozen Throne,Fighting,T,PS2,Red Fly Studio,THQ,8,8,2001
641,Rise of the Tomb Raider,Fighting,M,PS,"Black Lantern Studios, Inc.",Midway Games,8,8.7,1996
642,Dustforce DX,Sports,E,PS2,Hunter Studio,EA Sports BIG,8,9.6,2001
643,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,Platform,T,PS2,Rage Software,Sony Computer Entertainment,8,9.8,2003
644,NBA 2K15,Platform,T,PS2,"Blind Squirrel Digital, Inc",Sony Computer Entertainment,8.7,7.8,2003
645,Game Party,Simulation,T,PS2,2K Games,Electronic Arts,8,8,2003
646,Mortal Kombat: Deadly Alliance,Action,T,X360,Big Huge Games,LucasArts,7.1,7.4,2008
647,Dungeon Defenders,Action,M,X360,Sony Interactive Studios America,THQ,8.3,9.8,2011
648,Mario Party 2,Shooter,E,2600,Land Ho!,Atari,8,7.8,1981
649,Tomb Raider: The Last Revelation,Shooter,M,PC,"Page 44 Studios, LLC",Electronic Arts,8.9,8,2011
650,Pure,Action,E,PC,HuniePot,Nicalis,8,8,2014
651,Rock Band,Action,M,PS,Game Refuge,Capcom,8.6,8,1996
652,WarioWare Touched!,Racing,E10,PS3,Tripwire Interactive,Electronic Arts,8,8,2012
653,Resistance 2,Puzzle,E,DS,Asobo Studio,Nintendo,8.5,8.7,2006
654,Mario Party 4,Adventure,M,X360,BlankMediaGames,Rockstar Games,9.1,9.6,2011
655,LEGO Harry Potter: Years 1-4,Adventure,E,NES,SUPERHOT Team,Nintendo,8,9.8,1987
656,uDraw Studio,Action-Adventure,M,PS4,Climax Entertainment,Ubisoft,7.2,7.8,2016
657,Twisted Metal 2,Role-Playing,E,NS,Darkblack,Nintendo,8.3,8,2018
658,The Sims: Bustin' Out,Shooter,T,XOne,Eutechnyx,Blizzard Entertainment,8.7,7.4,2016
659,Paper Mario: Sticker Star,Racing,T,PS4,Ubisoft Romania,Electronic Arts,7,9.8,2015
660,Need for Speed Carbon: Own the City,Sports,E,PS3,Artech Digital Entertainment,EA Sports,8.3,7.8,2012
661,Donkey Kong Country Returns 3D,Sports,T,X360,Motion Twin,EA Sports,8.3,8,2010
662,Ice Hockey,Shooter,M,XOne,FreeStyle Games,Ubisoft,8,8,2015
663,Kirby Star Allies,Misc,E,PC,Digital Anvil,Focus Home Interactive,8,8,2015
664,Sonic Adventure,Sports,E,X360,Double Helix Games,EA Sports,7.8,8,2011
665,Tom Clancy's Rainbow Six: Vegas 2,Simulation,E,PC,Eat Sleep Play,Sunflowers,8,8,2000
666,God of War Collection,Misc,E,N64,Gratuitous Games,Nintendo,7.6,8,1999
667,Kinect: Disneyland Adventures,MMO,T,PC,Kunos Simulazioni,Blizzard Entertainment,8,8,2012
668,Pro Evolution Soccer 2011,Shooter,T,X360,Funcom,Activision,8,8.4,2006
669,ATV Offroad Fury,Action,E10,PS2,Runtime,LucasArts,8.4,8,2006
670,Pokemon Colosseum,Sports,E,X360,Big Blue Bubble Inc.,EA Sports,8.3,8,2010
671,Halo: Combat Evolved Anniversary,Racing,T,PS2,Ludia Inc.,Electronic Arts,9.3,8,2004
672,Need for Speed: ProStreet,Party,E,3DS,Indie Built,Nintendo,5.5,8,2013
673,Tetris Plus,Fighting,E,GEN,SCEE,Arena Entertainment,8,8,1993
674,Forza Motorsport 5,Strategy,T,X360,Mystique,Microsoft Game Studios,8.1,8.5,2009
675,Dino Crisis,Shooter,T,PS2,Evolution Games,Activision,8.5,8,2005
676,Final Fantasy V,Shooter,T,PS,Pyramid/JAPAN Studio,Electronic Arts,9.3,8,1999
677,Monster Hunter Freedom 2,Misc,T,X360,Ivory Tower,Activision,8.6,8,2008
678,Pro Wrestling,Fighting,T,PS2,PES Productions,THQ,8,8,2002
679,Theme Hospital,Role-Playing,T,PS3,Expansive Worlds,Square Enix,8,8.7,2012
680,God of War: Ascension,Shooter,T,PSP,Gevo Entertainment,Electronic Arts,6.7,9.6,2006
681,Batman: Arkham Origins,Action,E,DS,Telenet Japan / Wolfteam,Buena Vista,6.5,9.8,2006
682,Frogger's Adventures: Temple of the Frog,Racing,E,PS3,Produce!,Electronic Arts,8.2,7.8,2009
683,Mario & Sonic at the London 2012 Olympic Games,Action,T,PS2,Diamond Head,Ubisoft,8,8,2003
684,Monopoly,Action,T,N64,Redbeet Interactive,Nintendo,8,7.4,1996
685,Mortal Kombat II (US & Others sales),Platform,E,NES,Gorilla Systems,Nintendo,8,9.8,1986
686,Guitar Hero,Shooter,M,X360,Ape Studios / HAL Laboratory,Electronic Arts,7.3,7.8,2010
687,WCW/nWo Revenge,Sports,E,X360,Dry Cactus Limited,2K Sports,9.1,8,2011
688,Ratchet & Clank (2016),Racing,T,PS2,Hothouse Creations,Rockstar Games,8,8,2000
689,Yu-Gi-Oh! The Duelists of the Roses,Sports,E,PS3,BeamNG,2K Sports,8.9,8,2012
690,The Incredibles,Sports,E,PS4,Monkey Bar Games,2K Sports,8,8,2018
691,Tony Hawk's Underground 2,Sports,E,PS2,Delphine Software International,Sega,8,8.7,2004
692,Kirby: Triple Deluxe,Sports,E,PS4,Trilobyte,EA Sports,8.2,9.6,2017
693,Uncharted: The Lost Legacy,Sports,E,X360,Sega Sports R&D,EA Sports,8.9,9.8,2009
694,Sonic's Ultimate Genesis Collection,Platform,E,PSP,Banpresto,Sony Computer Entertainment,8.8,7.8,2009
695,Sleeping Dogs,Adventure,E,PS2,Telenet Japan / Wolteam,Electronic Arts,8,8,2002
696,Kirby's Dream Land 2,Action,M,XOne,Tequila Works,Microsoft Studios,8,7.4,2013
697,Pokemon Mystery Dungeon: Red Rescue Team,Sports,E10,Wii,20th Century Fox Video Games,Nintendo,7.7,9.8,2007
698,Donkey Kong Land 2,Role-Playing,T,3DS,Novarama,Capcom,7.6,7.8,2013
699,Dragon Quest Monsters,Action,E,GEN,Marvelous Interactive,Sega,8,8,1990
700,Pokemon Ranger: Shadows of Almia,Adventure,M,X360,Deibus Studios,Rockstar Games,9,8,2009
701,WarioWare: Smooth Moves,Action,E10,X360,Messhof,LucasArts,8,8,2007
702,Lego Marvel Super Heroes,Strategy,E10,NS,Shiro Games,Ubisoft,8.3,8,2017
703,WWE SmackDown vs Raw 2008,Shooter,M,XOne,Silicon Knights,Ubisoft,8,8,2016
704,Dragon Age: Inquisition,Sports,E,PS3,Digital Illusions,Electronic Arts,8.6,8.7,2008
705,Kinect Sports: Season Two,Sports,E,PS2,Williams Entertainment Inc.,EA Sports,8,9.6,2004
706,Madden NFL 25,Action,E,PC,Realtime Associates,Devolver Digital,8,9.8,2012
707,Art Academy,Role-Playing,E10,3DS,Eurocom,Nintendo,8,7.8,2013
708,My Fitness Coach,Role-Playing,E10,PC,Idea Pad,Warner Bros. Interactive Entertainment,8.5,8,2011
709,Mario Super Sluggers,Fighting,T,PS2,iNiS,THQ,8,7.4,2006
710,Mario Tennis,Misc,E10,Wii,Men-A-Vision,Activision,8,9.8,2012
711,Grand Theft Auto,Platform,T,PS2,Nihilistic Software,Sony Computer Entertainment,9.1,7.8,2004
712,James Bond 007: Everything or Nothing,Sports,E,PS2,Eden Studios,EA Sports,8,8,2007
713,Mafia II,Misc,E,DS,Polygon Magic,Nintendo,8.3,8,2006
714,Need for Speed: High Stakes,Sports,E,X360,Clever Endeavour Games,2K Sports,8,8,2013
715,Mario Paint,Platform,E10,PS3,David A. Palmer Productions,Sony Computer Entertainment,8.9,8.7,2007
716,Cool Boarders 3,Sports,E,PS,"Tetris Online, Inc",Sony Computer Entertainment,8,9.6,1998
717,"Papers, Please",Role-Playing,M,X360,Piranha Games,Electronic Arts,8.5,9.8,2009
718,Chrono Trigger,Sports,E,PS3,Dancing Dots,EA Sports,9,7.8,2015
719,Resident Evil 4,Strategy,E,N64,Triumph Studios,Nintendo,7.9,8,2001
720,Tabletop Simulator,Sports,E,X360,Disney Interactive,EA Sports,8.5,7.4,2008
721,Pro Evolution Soccer 2010,Shooter,E,2600,Bright Light Productions,Atari,8,9.8,1978
722,Mario Bros.,Sports,E,NS,Numantian Games,Nintendo,7.8,7.8,2018
723,Darksiders: Warmastered Edition,Racing,T,PS2,Idol Minds,Acclaim Entertainment,8.2,8,2001
724,TOCA Championship Racing,Shooter,M,N64,Game Republic,Rare,9.7,8,2000
725,Star Wars Battlefront II (US sales),Action,M,PS3,Fish Factory Games,Square Enix,8.9,8,2013
726,Golf With Your Friends,Racing,T,PS3,Planet Moon Studios,Rockstar Games,8.3,8,2008
727,Animal Crossing,Sports,E,PS2,Konami Digital Entertainment,Konami,8,8,2008
728,Classic NES Series: Super Mario Bros.,Role-Playing,T,X360,Le Cortex,Activision,8.3,8.7,2006
729,Kirby Squeak Squad,Role-Playing,T,PSP,Dan Dixon,Square Enix,8.1,9.6,2008
730,No Man's Sky,Music,T,X360,Atari Games,MTV Games,8.4,9.8,2010
731,Cool Boarders 2,Role-Playing,M,PC,Propaganda Games,Blizzard Entertainment,8.7,7.8,1996
732,Dynasty Warriors 4,Fighting,E,PS2,Ganbarion,Atari,8,8,2004
733,Just Dance Kids,Role-Playing,E,NES,Daedalic Entertainment,Enix,8,7.4,1990
734,Madden NFL 15,Shooter,M,PC,Project ACES,Ubisoft,8.6,9.8,2004
735,Fire Emblem: Awakening,Role-Playing,T,PS,DECK13 Interactive,Sony Computer Entertainment,8.8,7.8,1998
736,Sonic Advance,Racing,E,XOne,Pacific Coast Power & Light,Microsoft Studios,9,8,2016
737,Super Mario All-Stars: Limited Edition,Strategy,T,PC,Digital Extremes,Blizzard Entertainment,9.2,8,2003
738,Spyro: Season of Ice,Adventure,M,PC,Brownie Brown,Square Enix,8,8,2016
739,Teenage Mutant Ninja Turtles II: The Arcade Game,Platform,E,PC,"Human Soft, Inc.",Hitbox Team,8,8.7,2012
740,Dance Dance Revolution X2,Action,M,XB,ImaginEngine Corp.,Rockstar Games,9.8,9.6,2003
741,Battlefield V,Sports,E,PS4,Stern Electronics,2K Sports,8,9.8,2014
742,Prince of Persia: The Sands of Time,Misc,E,Wii,Neocore Games,Midway Games,2.6,7.8,2007
743,The Legend of Zelda: Link's Awakening DX,Fighting,M,PS2,Takara,Midway Games,8.2,8,2002
744,Darkest Dungeon,Role-Playing,E10,PC,Dearsoft,Trendy Entertainment,8.3,7.4,2011
745,Madden NFL 19,Misc,E,N64,Little Worlds Studio / Anuman Interactive,Nintendo,8,9.8,2000
746,Rock Band 2,Action,M,PS3,Clever Beans / EPOS Game Studios,THQ,8.3,7.8,2011
747,R.B.I. Baseball,Action,T,PS,"Mesa Logic, Inc.",Eidos Interactive,8,8,1999
748,Wario Land 3,Action,M,XOne,TheMeatly Games,Ubisoft,8,8,2017
749,Wario Land 4,Racing,E,X360,Realism Ltd,Disney Interactive Studios,8.3,8,2008
750,Yokai Watch Blasters: Red Cat Corps / White Dog Squad,Misc,T,X360,DrinkBox Studios,MTV Games,9.1,8,2007
751,BioShock 2,Misc,E10,PSV,Kronos Digital Entertainment,Sony Computer Entertainment America,8,8,2014
752,High School Musical: Makin' the Cut!,Puzzle,E,DS,U-PLAY Studios,Nintendo,7.8,8,2005
753,Skylanders SWAP Force,Shooter,M,PS3,Piranha Bytes,Sony Computer Entertainment,8.5,8.7,2008
754,Star Wars: Knights of the Old Republic,Action,T,PC,Capcom Production Studio 2,Warner Bros. Interactive,9,8,2011
755,Kirby's Pinball Land,Sports,E,XOne,Jester Interactive,EA Sports,8.4,8,2015
756,Mario Party 10,Misc,E,GC,Team Silent,Nintendo,7,8.7,2002
757,Pro Evolution Soccer 2012,Action,M,PS4,Equinoxe,Warner Bros. Interactive,8,9.6,2015
758,Saints Row,Adventure,E10,Wii,Quest Corporation,Warner Bros. Interactive,7.9,9.8,2010
759,Need for Speed: Payback,Misc,E,Wii,Introversion,THQ,8,7.8,2010
760,Yu-Gi-Oh: Duel Monsters 4,Sports,E,XOne,Appaloosa Interactive,EA Sports,8.1,8,2016
761,ATV Offroad Fury 2,Racing,T,PS,Nerve Software,Sony Computer Entertainment,8.7,7.4,1996
762,Destiny: The Taken King,Simulation,T,PS2,Genius Sonority Inc./Eighting,Electronic Arts,8,9.8,2003
763,Spyro Reignited Trilogy,Role-Playing,E,3DS,SourceNext,Nintendo,8,7.8,2012
764,Mario Party 5,Racing,E10,PSP,Reality Pump,Electronic Arts,7.4,8,2006
765,Star Wars: Rogue Squadron,Platform,E,3DS,Suspicious Developments,Nintendo,8.6,8,2013
766,Tennis,Sports,E,NES,Exient Entertainment,Nintendo,8,8,1988
767,Scribblenauts,Platform,E10,NS,RuneStorm,Nintendo,8.1,10,2018
768,Need for Speed Rivals,Platform,E,DC,Virtucraft,Sega,8.9,8,1999
769,PlayStation VR Worlds,Shooter,M,X360,Trion Worlds,Ubisoft,8.2,8,2008
770,Devil May Cry,Action,M,PS3,SIMS,Sony Computer Entertainment,9.2,8,2009
771,The Sims: House Party,Action-Adventure,E10,X360,Luxoflux Corp.,Microsoft Studios,8.5,8,2011
772,Your Shape featuring Jenny McCarthy,Sports,E,PS3,TT Games / Harmonix Music Systems,Konami,6,8.7,2010
773,Syphon Filter 2,Racing,E,PS2,A2M,Sony Computer Entertainment,8.4,9.6,2001
774,Battlefield: Hardline,Role-Playing,E,GC,Tigervision,Nintendo,7,9.8,2004
775,How to Survive 2,Sports,E10,XOne,Midway Studios Los Angeles,2K Sports,8.3,7.8,2015
776,Inazuma Eleven 3: Lightning Bolt / Bomb Blast / Team Ogre Attacks!,Shooter,M,X360,Sanzaru Games,Microsoft Studios,8,8,2011
777,Mario & Luigi: Superstar Saga,Racing,E10,PS2,Fuse Games Limited,Electronic Arts,8,7.4,2007
778,Volleyball,Puzzle,E,PS,Engine Software,Jaleco,8,9.8,1996
779,Banished,Racing,E,XOne,Pyramid,Microsoft Studios,8,7.8,2013
780,Mahjong,Racing,T,X360,2K Czech,Rockstar Games,8,8,2008
781,R.C. Pro-Am,Action,M,PS,Gaijin Entertainment,Capcom,8.9,8,1999
782,SimCity 2000,Role-Playing,E,SNES,7 Studios,Square,7.5,8,1992
783,Super Mario RPG: Legend of the Seven Stars,Role-Playing,T,PSP,Black Isle Studios,Capcom,7.6,8,2007
784,Call of Duty: Roads to Victory,Fighting,E,NES,Zachtronics Industries,Nintendo,8,8.7,1987
785,Demon Attack,Strategy,E,PC,Tomy,Electronic Arts,5.5,9.6,1997
786,Dance Dance Revolution Extreme,Action,M,PS3,Neverland Company,Sony Computer Entertainment,8,9.8,2013
787,Project Gotham Racing,Sports,E,PS3,Secret Level,EA Sports,8.4,7.8,2010
788,NBA 2K11,Action-Adventure,T,PS3,Relic,Warner Bros. Interactive Entertainment,8,8,2013
789,Need for Speed: Hot Pursuit 2,Adventure,E,GBA,11 bit studios,Konami,6.7,7.4,2001
790,Project Gotham Racing (JP weekly sales),Sports,E,X360,Mistwalker Corporation / AQ Interactive,Majesco,8,9.8,2010
791,Scooby-Doo! Night of 100 Frights,Sports,E,Wii,Gray Matter Studios / Nerve Software,Sega,6.8,7.8,2011
792,ARMS,Misc,E,PC,Silver Dollar Games,Hasbro Interactive,8,8,1995
793,Killzone: Shadow Fall,Fighting,E,GEN,Grasshopper Manufacture,Acclaim Entertainment,8,8,1994
794,Kirby: Nightmare in Dream Land,Misc,T,PS2,Micro Cabin,RedOctane,8,8.7,2005
795,Onimusha 2: Samurai's Destiny,Action,M,X360,Playdead,Deep Silver,7,9.6,2011
796,Need for Speed: Most Wanted 5-1-0,Fighting,E,N64,Imagineer,THQ,8,9.8,1998
797,Derby Stallion,Platform,E10,PS4,Digital Embryo,Sony Interactive Entertainment,8,7.8,2016
798,Just Dance 2015,Misc,E,PS2,BioWare / Demiurge Studios,Konami,8,8,2003
799,Total War: WARHAMMER,Sports,E,X360,Mattel,EA Sports,8.7,7.4,2007
800,Tetris Worlds,Action,T,PS2,IE Institute,THQ,5.9,9.8,2004
801,Sim Theme Park,Sports,T,PS2,Cunning Developments,Activision,8,7.8,2004
802,Donkey Kong Country: Tropical Freeze,Platform,E,3DS,Starbreeze,Nintendo,7.8,8,2014
803,Mario Party 7,Sports,E,PS3,Page 44,EA Sports,8.5,8,2009
804,Yokai Watch 3: Sushi / Tempura / Sukiyaki,Action,E,PS4,cerasus.media GmbH,Sony Interactive Entertainment,8,8,2017
805,Wipeout: The Game,Misc,E10,PS3,Sega Studios Australia,Sega,8.1,8.7,2009
806,Metal Gear Solid: Peace Walker,Action-Adventure,M,PC,Gameloft,Square Enix,8.5,9.6,2012
807,Spec Ops: Airborne Commando,Platform,E,GB,Konami Computer Entertainment Osaka,Nintendo,8,9.8,1995
808,Dance Dance Revolution: Hottest Party,Role-Playing,E,GBA,Contrail,Nintendo,8,7.8,2006
809,The Sims 2: Pets,Shooter,T,XOne,Saffire Corporation,Activision,8,8,2017
810,UFC 2009 Undisputed,Platform,E,GB,Suzak,Nintendo,8,7.4,1996
811,Yu-Gi-Oh! The Eternal Duelist Soul,Role-Playing,E,GB,Krome Studios / Screenlife Games,Eidos Interactive,8,9.8,1999
812,LittleBigPlanet 3,Role-Playing,E,DS,SNK Corporation,Nintendo,6.7,7.8,2008
813,Professor Layton and the Last Specter,Puzzle,E,Wii,Leaping Lizard Software Inc.,Nintendo,8.2,8,2007
814,Call of Duty 2,Adventure,E10,Wii,Devils Details,LucasArts,7.8,8,2008
815,Hitman: Absolution,Action,E10,X360,Gaijin Games Inc.,Warner Bros. Interactive Entertainment,8,8,2013
816,Toy Story 3: The Video Game,Fighting,T,PS2,SCEE London Studio / Zoe Mode,THQ,8,8,2007
817,R4: Ridge Racer Type 4,Role-Playing,M,PS4,ValuSoft,Electronic Arts,8,8,2014
818,Tom Clancy's Splinter Cell: Conviction,Sports,E10,X360,Epicenter Studios,Microsoft Studios,6.6,8.7,2011
819,Need for Speed: Undercover,Sports,E,X360,GenePool,EA Sports,7.8,9.6,2013
820,The Elder Scrolls Online: Tamriel Unlimited,Misc,E,DS,Alfa System,Nintendo,6.8,9.8,2010
821,Mortal Kombat vs DC Universe,Sports,E,Wii,KCEA,Ubisoft,7.1,7.8,2008
822,NBA Jam,Action,M,XOne,ACE Team,Ubisoft,8.3,8,2013
823,Famista '89 - Kaimaku Han!!,Sports,E,Wii,SuperVillain Studios,Nintendo,6.7,7.4,2008
824,Dark Souls,Sports,E,N64,Adrenium Games,Nintendo,8.8,9.8,2000
825,Middle-Earth: Shadow of War,Action,M,PS,Kalisto Entertainment,Take-Two Interactive,6,7.8,1998
826,SOCOM: U.S. Navy SEALs: Combined Assault,Shooter,T,PS2,Gaming Corps AB,Electronic Arts,8,8,2004
827,Peter Jackson's King Kong: The Official Game of the Movie,Action,M,PC,IllFonic,2K Games,7.6,8,2010
828,Dead or Alive 3,Racing,E,PS,Juice Games,Electronic Arts,8,8.7,1999
829,PGR4 - Project Gotham Racing 4,Misc,E,SNES,Sega Racing Studio,Nintendo,8,9.6,1992
830,Dance Central 2,Simulation,T,X360,Universal Gamex,Electronic Arts,8,9.8,2010
831,Dragon Quest XI: Echoes of an Elusive Age,Sports,E,PS,Clover Studio,989 Studios,8,7.8,1998
832,1080: TenEighty Snowboarding,Action,E10,PS3,Magic Wand Productions,LucasArts,8,8,2007
833,Mario Hoops 3 on 3,Puzzle,E,PC,Defiant Development,3909 LLC,8.4,7.4,2013
834,Serious Sam 3: BFE,Role-Playing,E,SNES,"Sculptured Software, Inc.",Square,8.8,9.8,1995
835,Rayman Raving Rabbids: TV Party,Role-Playing,E10,DS,Paon Corporation,Square Enix,7.4,7.8,2006
836,NBA Live 2004,Action,M,PS2,"Paradigm Entertainment, Electronic Arts",Capcom,9.6,9.3,2005
837,Onimusha: Warlords,Simulation,E,PC,Lab Rats Games,Berserk Games,8,8,2015
838,Rocket League,Adventure,E10,DS,Wizard Video Games,Warner Bros. Interactive,8,8,2010
839,Need for Speed: The Run,Action,M,PS3,ASC Games,Deep Silver,6.7,8,2011
840,Dragon Ball: Xenoverse,Adventure,E,PC,Quadro Delta,Eidos Interactive,8.2,8.7,1997
841,Stick Fight: The Game,Racing,E,XB,Infinity,Electronic Arts,8,9.6,2004
842,Plague Inc: Evolved,Sports,E,PS3,Microsoft Game Studios,Konami,7,9.8,2009
843,Dead Space,Platform,E,NES,Vicious Cycle,Nintendo,8,7.8,1986
844,Bloodborne,Action-Adventure,E10,WiiU,Cinegroupe,Nintendo,9.3,8,2013
845,Detroit: Become Human,Action-Adventure,M,PC,Ascaron Entertainment,THQ Nordic,8,7.4,2016
846,Diablo II: Lord of Destruction,Sports,E,PS2,Wish Studio,Electronic Arts,8,9.8,2008
847,Dragon Ball Z: Budokai Tenkaichi,Racing,E,PS,Robomodo / Buzz Monkey Software,3DO,8,7.8,1998
848,Dragon Quest Monsters: Joker 2,Shooter,T,PS2,Aardvark Software,LucasArts,8,8,2005
849,Dragon Warrior,Sports,E,PC,Amanita Design,Unknown,8,8,2005
850,Driveclub,Simulation,E,GC,FUN Labs,Nintendo,8.3,8.7,2002
851,Planet Coaster,Platform,E,GBA,Ready at Dawn Studios,Nintendo,8.3,9.6,2004
852,Super Street Fighter II,Platform,E,DS,ShadowRage,Nintendo,7.3,9.8,2006
853,Your Shape: Fitness Evolved,Sports,E,PS3,Vanillaware,EA Sports,7.8,7.8,2011
854,TouchMaster,Shooter,E,PS3,AMA Studios,2K Games,8,8,2012
855,Tenchu: Stealth Assassins,Action-Adventure,T,PS4,Ghost Town Games,Hello Games,6.8,7.4,2016
856,Just Cause 3,Sports,E,PS,Monster Games Inc.,Sony Computer Entertainment,8,9.8,1997
857,Mario Sports Mix,Action,T,PS2,VU Games,KOEI,8,7.8,2003
858,SimCity,Misc,T,PS3,Shiver Games,RedOctane,8.2,8,2007
859,Spyro: Enter the Dragonfly,Misc,E,Wii,Black Mesa Team,Ubisoft,8,8,2010
860,Stellaris,Sports,E,PS4,Rebellion Games,EA Sports,8,8,2014
861,E.T.: The Extra Terrestrial,Shooter,T,Wii,Tikipod,Activision,6.8,7.3,2006
862,Dishonored 2,Action,T,PC,DotEmu,Eidos Interactive,9.3,8.7,2009
863,Hot Shots Golf: Open Tee,Role-Playing,T,3DS,Coleco,Nintendo,9,9.6,2013
864,Inazuma Eleven 2: Blizzard / Firestorm,Platform,E,GBA,Studio Pixel,Sega,8,9.8,2002
865,Rad Racer,Platform,E,Wii,Holotech Studios,Nintendo,7.2,7.8,2010
866,Soccer,Platform,E,GBA,ColdWood Interactive,Vivendi Games,8,8,2001
867,Tom Clancy's Rainbow Six: Vegas,Action,E,NES,DONTNOD Entertainment,Ultra Games,8,7.4,1990
868,Crash Nitro Kart,Simulation,E10,PS2,UBIart Montpellier,Konami,8,9.8,2009
869,Pokemon Battle Revolution,Shooter,M,PS4,Spicy Horse,Electronic Arts,8,7.8,2018
870,Star Wars: Dark Forces,Adventure,T,PS2,Humongous Entertainment,Ubisoft,9,9.1,2003
871,Burnout Paradise,Sports,E,XOne,Incinerator Studios,Electronic Arts,8,8.7,2018
872,NBA Street Vol. 2,Action,T,PS3,Gottlieb,LucasArts,6.8,9.6,2008
873,Forza Horizon,Adventure,E,GBC,Pam Development,Nintendo,9.4,9.8,1998
874,Def Jam Vendetta,Sports,E,PS3,Mike Bithell Games,2K Sports,8,7.8,2013
875,Who Wants to be a Millionaire,Role-Playing,T,PC,Overkill Software,Red Hook Studios,8,8,2016
876,Alleyway,Sports,E,PS4,Team .366,EA Sports,8,7.4,2018
877,Scooby Doo and the Cyber Chase,Misc,T,X360,Namco Tales Studio / Wolfteam,RedOctane,9.2,9.8,2007
878,Yoshi's New Island,Adventure,E,DS,Neko Works,LucasArts,8,7.8,2008
879,Jet Moto 2,Racing,E10,X360,Giant Squid Studios,Electronic Arts,8.8,8.7,2010
880,Tom Clancy's Ghost Recon,Action,E,2600,Nippon Ichi Software,Parker Bros.,8,9.6,1982
881,X-Men Legends,Misc,T,X360,Midway Studios Austin,MTV Games,9.2,9.8,2008
882,Mortal Kombat II,Sports,E,NES,Silicon Studio,Tengen,8,7.8,1988
883,Virtua Fighter 2,Platform,E,GB,Fun Com,Nintendo,8,8,2000
884,The Legend of Zelda: Oracle of Ages,Platform,E,GBA,Adrenalin Interactive,Nintendo,8,7.4,2001
885,Red Faction,Role-Playing,E10,3DS,Bunkasha Publishing,Nintendo,8,9.8,2018
886,The Sims: Makin' Magic,Shooter,M,X360,Etranges Libellules,2K Games,8.6,7.8,2010
887,MX Unleashed,Puzzle,E,DS,Digital Eclipse Software,Disney Interactive Studios,7.3,8,2007
888,PaRappa The Rapper,Role-Playing,T,X360,Lion Shield,Square Enix,8.1,8.7,2010
889,Postal 2,Platform,E10,Wii,Full-Fat,Activision,8,9.6,2013
890,LEGO City Undercover: The Chase Begins,Sports,E,XOne,Lapovich,EA Sports,7.9,9.8,2014
891,Mario Party 3,Role-Playing,T,XB,Marvelous Entertainment,LucasArts,9.4,7.8,2003
892,Paper Mario: The Thousand-Year Door,Platform,E,GBC,Collision Studios,Nintendo,9.1,8,2000
